,name,neighborhood,address,latitude,longitude,stars,review_count,categories
52,"""Flight Deck Bar & Grill""",Southeast,"""6730 S Las Vegas Blvd""",36.0669136,-115.1708484,4,13,Nightlife;Bars;Barbeque;Sports Bars;American (New);Restaurants
53,"""Subway""",Southeast,"""6889 S Eastern Ave, Ste 101""",36.0646523,-115.1189541,2.5,6,Fast Food;Restaurants;Sandwiches
54,"""GameWorks""",Southeast,"""6587 Las Vegas Blvd S, Ste 171""",36.06825852,-115.1788768,3,349,Arcades;Arts & Entertainment;Gastropubs;Restaurants;American (New)
122,"""McDonald's""",Eastside,"""3020 E Desert Inn Rd""",36.1300128,-115.10931,2,20,Restaurants;Fast Food;Burgers
133,"""Divine Cafe at the Springs Preserve""",Westside,"""333 S Valley View Blvd""",36.1707065,-115.1902885,4,140,Restaurants;Cafes;American (New);Bars;Nightlife;Wine Bars
145,"""Subway""",,"""5111 Boulder Hwy""",36.1128952,-115.0623534,3,3,Sandwiches;Restaurants;Fast Food
274,"""Trattoria Italia""",Anthem,"""9905 S Eastern Ave, Ste 140""",36.0100856,-115.1186563,4.5,210,Seafood;Italian;Pizza;Restaurants
303,"""Cancun Bar & Grill""",Southeast,"""5006 S Maryland Pkwy, Ste 17""",36.0986321,-115.1360793,4.5,5,Karaoke;Bars;Mexican;Restaurants;Nightlife;Dance Clubs
409,"""Burger King""",,"""1736 Las Vegas Blvd S""",36.150372,-115.153558,2,18,Burgers;Restaurants
433,"""The Bass Cafe Grill & Terrace""",Eastside,"""900 Karen Ave""",36.1409252,-115.1428874,2.5,3,Restaurants;American (Traditional);Food;Coffee & Tea;Salad;Breakfast & Brunch
497,"""Pizza Hut""",Northwest,"""4945 W. Craig Road""",36.238059,-115.210341,2,13,Restaurants;Pizza
538,"""Baja Fresh""",Westside,"""8780 W Charleston Blvd, Ste 100""",36.1594825,-115.2874508,5,6,Restaurants;Mexican
621,"""Panda Express""",The Strip,"""3355 Las Vegas Blvd S""",36.1220839,-115.1680316,2.5,61,Restaurants;Fast Food;Chinese
629,"""Christy Candy Shop""",Eastside,"""3542 S Maryland Pkwy""",36.124902,-115.13471,3,4,Food;Restaurants;Specialty Food;Mexican;Candy Stores;Ice Cream & Frozen Yogurt
632,"""Jack's Pub""",,"""2416 W Sahara Ave""",36.1444404,-115.1744386,2.5,21,Nightlife;Pubs;Restaurants;Irish;Bars
675,"""Del Mar Deli""",Southeast,"""9777 Las Vegas Blvd S""",36.01154119,-115.1758965,3.5,119,Delis;Sandwiches;Restaurants;Breakfast & Brunch
691,"""Mexicali Raspados""",Eastside,"""4865 S Pecos Rd""",36.1006883,-115.1010833,4.5,47,Restaurants;Ice Cream & Frozen Yogurt;Shaved Ice;Hot Dogs;Food
737,"""Tootie's Place""",Southeast,"""6601 Las Vegas Blvd S""",36.0680033,-115.1764458,2,3,Restaurants;Fast Food;Creperies
772,"""Carnival World & Seafood Buffet""",,"""3700 W Flamingo Rd""",36.117506,-115.188844,2.5,508,Buffets;Seafood;Restaurants
778,"""The Hummus Factory""",Westside,"""7875 W Sahara Ave, Ste 101""",36.1432041,-115.262866,4.5,214,Event Planning & Services;Caterers;Burgers;Greek;Restaurants;Middle Eastern;Mediterranean
789,"""Sierra Gold""",Spring Valley,"""6515 S Jones Blvd""",36.0703249,-115.2249525,3.5,215,American (New);Restaurants;Pubs;Nightlife;Sports Bars;Bars;Food;Pizza;Breweries
798,"""Miga Korean Bistro""",,"""6112 W Flamingo Rd""",36.1146002,-115.2252211,4,42,Hawaiian;Asian Fusion;Restaurants;Korean
801,"""Bayside Buffet at Mandalay Bay""",The Strip,"""3950 S Las Vegas Blvd""",36.09121926,-115.1758039,3,1033,Arts & Entertainment;Restaurants;Buffets;American (Traditional);Casinos
857,"""Quiznos""",Downtown,"""901 S Rancho Dr""",36.1604805,-115.17233,3.5,17,Sandwiches;Fast Food;Restaurants;Delis
