key_0,business_id,name,neighborhood,address,latitude,longitude,stars,review_count,categories,popular,gender,weekend,vegan,kid,group,Ameri,Europ,SouAM,Asian,Indian,Chinese,MidEas,Drinks,utility
Pd52CjgyEU3Rb8co6QfTPw,Pd52CjgyEU3Rb8co6QfTPw,"""Flight Deck Bar & Grill""",Southeast,"""6730 S Las Vegas Blvd""",36.0669136,-115.17084840000001,4.0,13,Nightlife;Bars;Barbeque;Sports Bars;American (New);Restaurants,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.408473339317545
4srfPk1s8nlm1YusyDUbjg,4srfPk1s8nlm1YusyDUbjg,"""Subway""",Southeast,"""6889 S Eastern Ave, Ste 101""",36.0646523,-115.1189541,2.5,6,Fast Food;Restaurants;Sandwiches,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.036286588602934
n7V4cD-KqqE3OXk0irJTyA,n7V4cD-KqqE3OXk0irJTyA,"""GameWorks""",Southeast,"""6587 Las Vegas Blvd S, Ste 171""",36.0682585154,-115.1788768,3.0,349,Arcades;Arts & Entertainment;Gastropubs;Restaurants;American (New),0.0,0.37209302325581395,0.47674418604651164,0.05813953488372093,0.37209302325581395,0.7325581395348837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.84681386951813
Wpt0sFHcPtV5MO9He7yMKQ,Wpt0sFHcPtV5MO9He7yMKQ,"""McDonald's""",Eastside,"""3020 E Desert Inn Rd""",36.130012799999996,-115.10931000000001,2.0,20,Restaurants;Fast Food;Burgers,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.61885881512909
W1Yr6c2XDx_RBjb6WsV-aQ,W1Yr6c2XDx_RBjb6WsV-aQ,"""Divine Cafe at the Springs Preserve""",Westside,"""333 S Valley View Blvd""",36.1707064994,-115.19028848100001,4.0,140,Restaurants;Cafes;American (New);Bars;Nightlife;Wine Bars,0.0,0.4,0.52,0.12,0.04,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.82066656634804
vzx1WdVivFsaN4QYrez2rw,vzx1WdVivFsaN4QYrez2rw,"""Subway""",,"""5111 Boulder Hwy""",36.112895200000004,-115.06235339999999,3.0,3,Sandwiches;Restaurants;Fast Food,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.88201658358251
dPxZI9lrKTl5dvFfnb1_Ig,dPxZI9lrKTl5dvFfnb1_Ig,"""Trattoria Italia""",Anthem,"""9905 S Eastern Ave, Ste 140""",36.010085600000004,-115.11865630000001,4.5,210,Seafood;Italian;Pizza;Restaurants,0.0,0.4076086956521739,0.5108695652173914,0.21739130434782608,0.021739130434782608,0.6956521739130435,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.155111865709706
WfB_SsYeKy83QQsqAAyGVQ,WfB_SsYeKy83QQsqAAyGVQ,"""Cancun Bar & Grill""",Southeast,"""5006 S Maryland Pkwy, Ste 17""",36.098632099999996,-115.1360793,4.5,5,Karaoke;Bars;Mexican;Restaurants;Nightlife;Dance Clubs,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,45.232490925097636
W8GVfGILy7an385lZSEvSw,W8GVfGILy7an385lZSEvSw,"""Burger King""",,"""1736 Las Vegas Blvd S""",36.150372,-115.153558,2.0,18,Burgers;Restaurants,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.438035126706815
wRmPV-RvcqcjeyUeOaJQCg,wRmPV-RvcqcjeyUeOaJQCg,"""The Bass Cafe Grill & Terrace""",Eastside,"""900 Karen Ave""",36.140925200000005,-115.1428874,2.5,3,Restaurants;American (Traditional);Food;Coffee & Tea;Salad;Breakfast & Brunch,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.38157658434577
