popular,gender,weekend,vegan,kid,group,Ameri,Europ,SouAM,Asian,Indian,Chinese,MidEas,Drinks,utility
1.0,0.3835616438356164,0.4863013698630137,0.19863013698630136,0.00684931506849315,0.6986301369863014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.44154684886403
0.0,0.2894736842105263,0.47368421052631576,0.3684210526315789,0.02631578947368421,0.6842105263157895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.91987186641713
1.0,0.4444444444444444,0.4444444444444444,0.18518518518518517,0.037037037037037035,0.7222222222222222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.631173646777135
0.0,0.4827586206896552,0.3103448275862069,0.06896551724137931,0.0,0.27586206896551724,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.13623221477763
0.0,0.3055555555555556,0.4722222222222222,0.1388888888888889,0.027777777777777776,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.81492242525104
0.0,0.2857142857142857,0.3333333333333333,0.19047619047619047,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.588931329847426
0.0,0.4727272727272727,0.4,0.12727272727272726,0.01818181818181818,0.5454545454545454,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,45.642615058704095
0.0,0.3902439024390244,0.4878048780487805,0.07317073170731707,0.0,0.24390243902439024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.91757824749845
0.0,0.4642857142857143,0.4642857142857143,0.07142857142857142,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.14866518482991
0.0,0.4864864864864865,0.43243243243243246,0.08108108108108109,0.02702702702702703,0.3783783783783784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.40072863966304
0.0,0.4117647058823529,0.4117647058823529,0.058823529411764705,0.029411764705882353,0.6176470588235294,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,48.09003736186342
0.0,0.0,0.25,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.553367371858904
0.0,0.2727272727272727,0.3181818181818182,0.0,0.045454545454545456,0.36363636363636365,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.915318803515646
0.0,0.48,0.38,0.06,0.02,0.54,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,46.5664178587031
0.0,0.7777777777777778,0.3333333333333333,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.26665814065224
1.0,0.38461538461538464,0.4461538461538462,0.015384615384615385,0.0,0.47692307692307695,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,53.32719178517219
0.0,0.45454545454545453,0.5454545454545454,0.045454545454545456,0.045454545454545456,0.3181818181818182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.76235316922342
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.13618021140827
0.0,0.5,0.55,0.0,0.0,0.45,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,42.25821149007701
0.0,0.5,0.6666666666666666,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.67501131802213
1.0,0.574468085106383,0.48936170212765956,0.14893617021276595,0.0,0.5957446808510638,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,52.528611987195106
0.0,0.4126984126984127,0.3492063492063492,0.15873015873015872,0.047619047619047616,0.49206349206349204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.255880231864964
0.0,0.42857142857142855,0.5,0.35714285714285715,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.15575464685013
0.0,0.7777777777777778,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.980321409096526
0.0,0.5,0.34615384615384615,0.038461538461538464,0.0,0.5384615384615384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.48010781476868
0.0,0.5604395604395604,0.46153846153846156,0.15384615384615385,0.02197802197802198,0.6703296703296703,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.721281150404714
0.0,0.6,0.26666666666666666,0.06666666666666667,0.0,0.4666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,45.956213924336986
0.0,0.5079365079365079,0.3862433862433862,0.06349206349206349,0.005291005291005291,0.3386243386243386,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,46.244803325516784
0.0,0.29577464788732394,0.49295774647887325,0.056338028169014086,0.014084507042253521,0.5211267605633803,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,47.67352294405709
0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.401284794485456
0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.78835381141299
0.0,0.42657342657342656,0.3986013986013986,0.08391608391608392,0.013986013986013986,0.4125874125874126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.431283622447715
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.59991880329942
1.0,0.41605839416058393,0.4306569343065693,0.051094890510948905,0.051094890510948905,0.5693430656934306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33018694904426
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.49684443043084
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.40501094538372
0.0,0.5714285714285714,0.5714285714285714,0.0,0.14285714285714285,0.42857142857142855,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.46827372137775
0.0,0.2631578947368421,0.47368421052631576,0.0,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,42.995820070076526
1.0,0.47368421052631576,0.45263157894736844,0.14736842105263157,0.010526315789473684,0.6421052631578947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.34537117319492
1.0,0.4513888888888889,0.4305555555555556,0.2638888888888889,0.006944444444444444,0.2708333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,51.81550052440749
0.0,0.6296296296296297,0.48148148148148145,0.48148148148148145,0.0,0.2962962962962963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.54791976147102
0.0,0.42857142857142855,0.42857142857142855,0.03896103896103896,0.032467532467532464,0.6038961038961039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.04649218859733
0.0,0.5,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.88585752954684
1.0,0.5234375,0.44921875,0.078125,0.00390625,0.4921875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,53.76165763936012
0.0,0.4,0.6,0.2,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.77496975052348
0.0,0.625,0.375,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.225536606425145
0.0,0.5,0.6,0.36666666666666664,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.7655936890647
0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.844080592048904
0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.732775965350676
0.0,0.5,0.25,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.421350527514335
0.0,0.7333333333333333,0.6,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.189418905848
0.0,0.5625,0.4114583333333333,0.08854166666666667,0.06770833333333333,0.7838541666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.78598526291991
0.0,0.6,0.5,0.1,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5401739593715
0.0,0.2,0.5,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.917439286992323
0.0,0.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.17056222446247
0.0,0.36231884057971014,0.463768115942029,0.057971014492753624,0.028985507246376812,0.5217391304347826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.84048348266589
0.0,0.6,0.4,0.0,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.426544053890403
0.0,0.5,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,43.785353905767
1.0,0.44360902255639095,0.39849624060150374,0.17293233082706766,0.015037593984962405,0.6992481203007519,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.90040426883379
0.0,0.38095238095238093,0.6666666666666666,0.19047619047619047,0.047619047619047616,0.42857142857142855,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,43.0454748107894
0.0,0.45454545454545453,0.7272727272727273,0.09090909090909091,0.0,0.18181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.81880809552644
0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.04005718567949
0.0,0.7142857142857143,0.5714285714285714,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.537130688553
0.0,0.25,1.0,0.0,0.25,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15870024701986
0.0,0.3125,0.3125,0.28125,0.0,0.59375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.989547870465614
0.0,0.36,0.36,0.2,0.0,0.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.88033692927583
0.0,0.6039603960396039,0.5247524752475248,0.0,0.019801980198019802,0.33663366336633666,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,42.55501520352511
0.0,0.4482758620689655,0.4729064039408867,0.07389162561576355,0.07389162561576355,0.46798029556650245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.69237892403209
0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.840748795892313
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37.37516526610533
0.0,0.40816326530612246,0.3877551020408163,0.14285714285714285,0.061224489795918366,0.2653061224489796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.59206634706891
0.0,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.0,0.21428571428571427,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.87583633452044
1.0,0.4251968503937008,0.3779527559055118,0.23622047244094488,0.023622047244094488,0.7322834645669292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.940966969708334
0.0,0.5789473684210527,0.3684210526315789,0.15789473684210525,0.02631578947368421,0.34210526315789475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.41956696943619
0.0,0.3076923076923077,0.6153846153846154,0.0,0.07692307692307693,0.5384615384615384,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.218352005082885
0.0,0.2,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,36.491134213297315
0.0,0.5,0.5,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.47567915532884
1.0,0.5,0.4523809523809524,0.023809523809523808,0.047619047619047616,0.21428571428571427,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,52.87664429587064
1.0,0.49777777777777776,0.4577777777777778,0.13333333333333333,0.022222222222222223,0.35555555555555557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.59008791696526
0.0,0.4,0.52,0.02666666666666667,0.0,0.4666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.94492826681719
0.0,0.5,0.42105263157894735,0.10526315789473684,0.0,0.21052631578947367,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78223181961535
0.0,0.375,0.4375,0.03125,0.03125,0.5625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.55415051038911
0.0,0.4782608695652174,0.43478260869565216,0.2608695652173913,0.08695652173913043,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.87620549895427
0.0,0.375,0.3125,0.0,0.0625,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.77493374298159
0.0,0.48,0.5,0.08,0.04,0.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.65892317252637
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.047489442753196
1.0,0.5365853658536586,0.5121951219512195,0.1951219512195122,0.04878048780487805,0.4146341463414634,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.98242604916344
